ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SZ,20151207,1047.4069,1053.4265,1035.3678,1044.8271,1042.2473,2.5797999999999774,0.2475,402792.65,488370.6994
000001.SZ,20151208,1037.9476,1039.6675,1023.3286,1028.4882,1044.8271,-16.338899999999967,-1.5638,503101.79,602568.6259
000001.SZ,20151209,1025.0485,1042.2473,1023.3286,1031.0681,1028.4882,2.5798999999999523,0.2508,429384.35,515596.4749
000001.SZ,20151210,1027.6283,1043.9672,1024.1885,1028.4882,1031.0681,-2.5798999999999523,-0.2502,417603.58,502326.0726
000001.SZ,20151211,1024.1885,1025.0485,1008.7096,1017.309,1028.4882,-11.179200000000037,-1.087,379508.03,448800.9414
000001.SZ,20151214,1008.7096,1041.3873,1006.9897,1037.9476,1017.309,20.638599999999997,2.0287,587236.64,698791.985
000001.SZ,20151215,1034.5078,1039.6675,1019.8888,1025.0485,1037.9476,-12.899099999999862,-1.2428,364487.35,436557.6937
000001.SZ,20151216,1030.2081,1032.7879,1021.6087,1022.4687,1025.0485,-2.579800000000091,-0.2517,392762.82,468510.2592
000001.SZ,20151217,1029.3482,1043.9672,1028.4882,1037.9476,1022.4687,15.478899999999953,1.5139,648274.75,780891.8011
000001.SZ,20151218,1034.5078,1079.2247,1033.6479,1051.7066,1037.9476,13.759000000000015,1.3256,1022944.74,1257360.3559
000001.SZ,20151221,1043.9672,1093.8437,1041.3873,1075.7849,1051.7066,24.078300000000127,2.2895,1281142.13,1595741.319
000001.SZ,20151222,1074.925,1085.2443,1064.6057,1068.9054,1075.7849,-6.879500000000007,-0.6395,698091.45,870121.7322
000001.SZ,20151223,1072.3452,1099.0033,1066.3256,1073.2051,1068.9054,4.2996999999998025,0.4023,1039018.23,1302341.5383
000001.SZ,20151224,1071.4852,1080.0846,1052.5666,1061.166,1073.2051,-12.039099999999962,-1.1218,640229.64,791975.8246
000001.SZ,20151225,1064.6057,1072.3452,1060.306,1067.1855,1061.166,6.019500000000107,0.5673,399845.05,495638.0531
000001.SZ,20151228,1068.9054,1071.4852,1030.2081,1030.2081,1067.1855,-36.97739999999999,-3.4649,822408.63,1003010.2074
000001.SZ,20151229,1031.0681,1040.5274,1029.3482,1039.6675,1030.2081,9.45939999999996,0.9182,619802.14,744718.4163
000001.SZ,20151230,1039.6675,1041.3873,1027.6283,1040.5274,1039.6675,0.8598999999999251,0.0827,532667.04,641277.2654
000001.SZ,20151231,1040.5274,1043.1072,1030.2081,1031.0681,1040.5274,-9.459299999999985,-0.9091,491258.92,591643.5907
000001.SZ,20160104,1031.928,1034.5078,965.7126,974.312,1031.0681,-56.75609999999995,-5.5046,563497.87,660376.1531
000001.SZ,20160105,969.1524,994.9506,958.8331,980.3316,974.312,6.0195999999999685,0.6178,663269.95,755531.3537
000001.SZ,20160106,982.0515,994.0906,979.4717,991.5108,980.3316,11.179200000000037,1.1403,515706.44,591698.5204
