datetime,action,percent,price,hands,fee,total_captial,profit,zscore
2014-06-13 00:00:00,order,0.9577059197402481,10.06,20,6.036,21008.80329999999,0,2.9552664807413067
2014-07-07 00:00:00,close,0,9.84,0.0,25.584,20543.21929999999,-465.5839999999989,-1.132412040930214
2014-07-28 00:00:00,order,0.9483344608992228,10.82,18,5.8427999999999995,20537.37649999999,0,3.1580868932363595
2014-08-07 00:00:00,order,0.9968187537598663,10.53,1,5,20532.37649999999,0,1.324721026288539
2014-08-18 00:00:00,close,0,10.65,0.0,26.3055,20212.07099999999,-320.3055000000022,-0.8607626469964038
2014-08-19 00:00:00,order,0.9939122467954922,10.57,19,6.0249,20206.04609999999,0,0.7208127103254651
2014-09-22 00:00:00,close,0,10.06,0.0,24.8482,19212.19789999999,-993.8482000000004,-1.0000143594231232
2014-10-27 00:00:00,order,0.9941979881437728,10.05,19,5.7285,19206.469399999987,0,0.8591080686533207
2015-01-12 00:00:00,close,0,14.65,0.0,36.1855,27910.283899999984,8703.814499999997,-0.8604220337062146
2015-02-02 00:00:00,order,0.9877458824415618,13.78,20,8.267999999999999,27902.015899999984,0,0.7128805977875274
2015-02-25 00:00:00,close,0,13.8,0.0,35.88,27906.135899999987,4.120000000002619,-0.8697064078849526
2015-03-13 00:00:00,order,0.9742715400450699,15.1,18,8.154,27897.981899999988,0,1.3537474484992187
2015-04-30 00:00:00,close,0,16.7,0.0,39.078,30738.903899999987,2840.9219999999987,-0.7961012607001126
2015-09-28 00:00:00,order,0.986179975662698,10.45,29,9.0915,30729.812399999988,0,1.2069678871969782
2015-11-27 00:00:00,close,0,11.72,0.0,44.1844,34368.62799999999,3638.8156000000017,-1.384485644686754
2015-12-28 00:00:00,order,0.9771141169790081,11.99,28,10.071599999999998,34358.55639999999,0,0.7616047488300941
2016-01-04 00:00:00,close,0,11.27,0.0,41.022800000000004,32301.533599999988,-2057.022799999999,-1.0378894927897087
2016-05-31 00:00:00,order,0.9764074793030882,10.51,30,9.459,32292.07459999999,0,1.6260547072399272
2016-06-23 00:00:00,close,0,8.64,0.0,33.696,26648.37859999999,-5643.696,-0.8862257755083518
2016-07-28 00:00:00,order,0.9884240987179614,9.08,29,7.8995999999999995,26640.47899999999,0,1.003189033614614
2016-09-05 00:00:00,close,0,9.42,0.0,35.513400000000004,27590.96559999999,950.4866000000002,-1.3514240044136803
2016-09-07 00:00:00,order,0.987249583610079,9.39,29,8.1693,27582.796299999987,0,4.466918211443007
2016-09-12 00:00:00,close,0,9.18,0.0,34.608599999999996,26939.187699999988,-643.6085999999996,-1.3594559561422903
2016-10-14 00:00:00,order,0.9777540397032838,9.08,29,7.8995999999999995,26931.288099999987,0,1.1070100939014746
2016-11-17 00:00:00,close,0,9.21,0.0,34.721700000000006,27273.566399999992,342.2783000000054,-0.8115136579650316
2016-11-23 00:00:00,order,0.9694342577800902,9.44,28,7.929599999999999,27265.636799999993,0,1.3783405726379352
2017-01-12 00:00:00,close,0,9.14,0.0,33.269600000000004,26392.367199999993,-873.2695999999996,-1.3368439466797126
2017-02-17 00:00:00,order,0.9975572028264296,9.4,28,7.895999999999999,26384.471199999993,0,0.750704705231182
2017-04-19 00:00:00,close,0,8.9,0.0,32.396,24952.075199999996,-1432.395999999997,-0.8530265424520126
2017-06-22 00:00:00,order,0.9990542309683326,9.23,27,7.476299999999999,24944.598899999997,0,1.5684786683380827
2017-08-03 00:00:00,close,0,11.0,0.0,38.61,29684.988899999997,4740.389999999999,-1.2460545091310105
2017-09-04 00:00:00,order,0.9839572485068371,11.68,25,8.76,29676.2289,0,0.7279755227559805
2017-10-31 00:00:00,close,0,11.56,0.0,37.57,29338.6589,-337.5699999999997,-0.8522452720978129
2017-11-08 00:00:00,order,0.9983000279539022,12.2,24,8.783999999999999,29329.8749,0,1.1218852759679345
2018-01-12 00:00:00,close,0,13.51,0.0,42.1512,32431.7237,3101.8487999999998,-0.9626267966541796
2018-01-15 00:00:00,order,0.9615077042605664,14.17,22,9.3522,32422.371499999997,0,0.9314906276051284
2018-02-07 00:00:00,close,0,12.83,0.0,36.693799999999996,29437.6777,-2984.6937999999973,-1.893140138385831
2018-03-05 00:00:00,order,0.974553913266059,11.95,24,8.604,29429.0737,0,0.7378647887022205
2018-03-23 00:00:00,close,0,11.15,0.0,34.788,27474.285700000004,-1954.7879999999968,-0.7716174675354829
2018-06-22 00:00:00,order,0.9741846391296716,9.91,27,8.027099999999999,27466.258600000005,0,0.8402687629291968
2018-06-25 00:00:00,close,0,9.39,0.0,32.9589,26029.299700000007,-1436.9588999999978,-1.5953206144979561
2018-07-18 00:00:00,order,0.9751554130363328,8.75,29,7.612499999999999,26021.687200000008,0,0.7345801461035742
2018-07-20 00:00:00,close,0,9.04,0.0,34.080799999999996,26828.606400000004,806.9191999999966,-1.1549354320516774
2018-08-24 00:00:00,order,0.9713443632316286,10.02,26,7.815599999999999,26820.790800000002,0,2.9227812260065837
2018-09-14 00:00:00,close,0,9.8,0.0,33.124,26215.666800000006,-605.1239999999962,-1.0695972687050301
2018-09-21 00:00:00,order,0.9633771512536922,10.52,24,7.574399999999999,26208.092400000005,0,1.0378108586510322
2018-10-19 00:00:00,close,0,10.81,0.0,33.727199999999996,26870.365200000004,662.2727999999988,-1.0162390296877906
2018-11-14 00:00:00,order,0.9716217031542242,10.44,25,7.829999999999999,26862.535200000002,0,1.217925561004944
2018-12-18 00:00:00,close,0,10.14,0.0,32.955,26079.580200000004,-782.9549999999981,-1.0206510353688125
2019-02-25 00:00:00,order,0.9627275365421716,12.55,20,7.529999999999999,26072.050200000005,0,1.9800024117082393
2019-03-19 00:00:00,close,0,12.68,0.0,32.967999999999996,26299.082200000004,227.03199999999924,-0.9855248840341427
2019-04-01 00:00:00,order,0.9597129438988558,13.28,19,7.569599999999999,26291.512600000005,0,0.8257773759020215
2019-04-30 00:00:00,close,0,13.1,0.0,32.357,25917.155600000006,-374.35699999999997,-0.7680316586660276
2019-06-20 00:00:00,order,0.9559471256174422,13.76,18,7.4304,25909.725200000004,0,0.8392815128542905
2019-07-11 00:00:00,close,0,13.6,0.0,31.823999999999998,25589.901200000004,-319.8240000000005,-0.8773270025069794
2019-09-03 00:00:00,order,0.9515981718600771,14.32,17,7.3031999999999995,25582.598000000005,0,1.618079559056076
2019-11-05 00:00:00,close,0,17.06,0.0,37.70259999999999,30202.8954,4620.297399999996,-0.7274092746215226
2019-11-15 00:00:00,order,0.9747022134838107,16.35,18,8.829,30194.0664,0,1.096004711463223
2020-01-10 00:00:00,close,0,16.75,0.0,39.195,30874.871399999996,680.8049999999967,-0.894132766982074
2020-04-29 00:00:00,order,0.9992998124682069,14.02,22,9.2532,30865.618199999997,0,1.3653975034324577
